,coin_symbol,coin_name,title,start,description
0,EAGLE,EagleCoin ,EagleCoin ($EAGLE) - New Website Launch,2018-3-2,"Hi all, we are going to launch new website on March 2018 stay tuned!"
1,TRIG,Triggers ,"Triggers ($TRIG) - Masternode, Testnet, Justfire Internal Launch",2018-3-2,"Triggers 2018 March Events:

 	Test net Internal Launch
 	Justifire Internal Launch
 	Masternode Internal Launch
 	Trig Subtoken Exchange Internal Launch
"
2,RISE,Rise ,Rise ($RISE) - To Be Listed on OpenLedger,2018-3-2,"We are excited to announce that $RISE will be listed on @OpenLedgerDC, a decentralized exchange, in March. Thank"
3,BOS,BOScoin ,BOScoin ($BOS) - Whitepaper 2.0 Release,2018-3-3,BOScoin white paper 2.0 will be released late March.
4,PRL,Oyster ,Oyster ($PRL) - To Be Listed On NextExchange,2018-3-3,The status of @OysterProtocol $PRL has been changed to 'planned' on our exchange and will be available in
5,WIC,WaykiChain ,WaykiChain ($WIC) - WaykiChain Wallet Launch,2018-3-6,"The official launch of WaykiChain wallet application is expected at the end of March,… https://www.instagram.com/p/Bf-7WU0HqDy/ "
6,BIO,BioCoin ,BioCoin ($BIO) - To Be Listed On Bittrex,2018-3-6,Great news! #Bittrex invited #BioCoin (BIO) on its exchange platform! Coming soon.
7,PROC,ProCurrency ,ProCurrency ($PROC) - To Be Listed on HitBTC,2018-3-6,We are very excited to announce that ProCurrency will be listed on HitBTC soon! HitBTC is one of the largest and oldest cryptocurrency exchange! Stay tuned for the listing date!
8,EVC,EventChain ,EventChain ($EVC) - To Be Listed on Nebula Exchange,2018-3-7,EventChain $EVC listing trading pairs on @Nebula_Exchange upon release this month. Don't miss their private Beta!
9,BTX,Bitcore ,Bitcore ($BTX) - To Be  Listed on SheepBit,2018-3-7,Bitcore BTX will soon be listed on the new Brazilian exchange sheepbit!
10,EDG,Edgeless ,Edgeless ($EDG) - New Dice Game Release,2018-3-7,"The new Dice game based on smart-contracts will be released. Dice is an extremely popular game among top bitcoin casinos. Additionally, it’s much easier than Black Jack and fun for"
11,UNIFY,Unify ,Unify ($UNIFY) - Documentation Launch,2018-3-7,"We will launch a Unify documentation this month. It will explain wallet types and how to use them, staking, fixes of common problems &amp; more. Stay tuned!"
