,symbol,name,price_usd,percent_change_1h,percent_change_24h,volume_usd_24h,market_cap_usd,available_supply,max_supply
0,BTC,Bitcoin,$9072,-0.216951%,3.17928%,"39,706,569,044.1129","$165,619,864,330.47034","18,254,900.0","21,000,000.0"
1,ETH,Ethereum,$229.,0.224105%,2.02019%,"18,063,824,706.2208","$25,255,649,015.11454","109,975,340.499",Unknown
2,XRP,XRP,$0.24,0.425054%,2.14977%,"2,301,866,041.98263","$10,524,112,596.149218","43,818,008,717.0","100,000,000,000.0"
3,BCH,Bitcoin Cash,$337.,0.736199%,4.72277%,"4,721,448,583.84615","$6,172,848,788.235272","18,314,750.0","21,000,000.0"
4,USDT,Tether,$1.00,-0.250506%,0.256421%,"49,909,813,810.2955","$4,650,619,152.814263","4,642,367,414.0",Unknown
5,BSV,Bitcoin SV,$240.,0.356884%,2.85007%,"2,409,461,863.68847","$4,401,061,508.833544","18,311,914.5819233","21,000,000.0"
6,LTC,Litecoin,$61.8,0.225218%,2.20116%,"4,679,658,477.52275","$3,975,170,484.1304927","64,227,912.1734811","84,000,000.0"
7,EOS,EOS,$3.77,0.59262%,4.5686%,"3,197,051,060.34022","$3,479,498,891.5752077","920,681,129.8795",Unknown
8,BNB,Binance Coin,$21.0,0.606751%,4.83463%,"431,958,980.489619","$3,271,614,479.843231","155,536,713.0","187,536,713.0"
9,XTZ,Tezos,$3.08,0.20607%,1.90916%,"256,555,521.463192","$2,170,454,689.2626686","702,771,622.460668",Unknown
10,LINK,Chainlink,$4.70,0.170447%,0.0497354%,"534,717,850.736241","$1,647,240,904.9390001","350,000,000.0",Unknown
11,ADA,Cardano,$0.05,0.314608%,4.03302%,"112,091,422.623668","$1,328,023,497.2260177","25,927,070,538.0","45,000,000,000.0"
12,XLM,Stellar,$0.05,0.0223081%,1.46092%,"418,675,711.162036","$1,209,360,197.4160888","20,223,415,800.5571",Unknown
13,TRX,TRON,$0.01,0.77414%,1.44337%,"1,422,126,292.40054","$1,202,440,035.534336","66,682,072,191.4",Unknown
14,XMR,Monero,$68.7,0.0623667%,3.72205%,"97,028,912.2681519","$1,200,632,255.2254617","17,470,996.3775137",Unknown
15,HT,Huobi Token,$4.70,-0.924812%,1.21839%,"221,148,703.727733","$1,074,506,509.6934233","228,540,244.971921",Unknown
16,LEO,UNUS SED LEO,$0.96,-0.201291%,1.2001%,"7,935,844.3218882","$962,726,373.7519451","999,498,892.9",Unknown
