,symbol,name,price_btc,price_usd,percent_change_1h,percent_change_24h,volume_usd_24h,market_cap_usd,available_supply,max_supply
0,BTC,Bitcoin,1.0 BTC,$8126,-2.46%,-12.64%,"6,429,920,000.0","$136,887,978,153.0","16,845,512.0","21,000,000.0"
1,ETH,Ethereum,0.102978 BTC,$822.,-3.78%,-15.31%,"2,628,890,000.0","$80,156,740,080.0","97,411,775.0",Unknown
2,XRP,Ripple,0.00010218 BTC,$0.81,-1.2%,-12.54%,"1,146,970,000.0","$31,851,570,861.0","39,009,215,838.0","100,000,000,000.0"
3,BCH,Bitcoin Cash,0.139722 BTC,$1116,-3.03%,-12.82%,"612,047,000.0","$18,923,384,971.0","16,949,300.0","21,000,000.0"
4,ADA,Cardano,0.00004786 BTC,$0.38,-1.4%,-13.23%,"805,387,000.0","$9,915,289,586.0","25,927,070,538.0","45,000,000,000.0"
5,LTC,Litecoin,0.0177963 BTC,$142.,-4.12%,-10.5%,"979,483,000.0","$7,830,972,799.0","55,068,583.0","84,000,000.0"
6,XLM,Stellar,0.00004681 BTC,$0.37,-2.12%,-15.25%,"226,006,000.0","$6,894,720,928.0","18,431,238,746.0",Unknown
7,NEO,NEO,0.0128876 BTC,$102.,-3.23%,-16.53%,"180,207,000.0","$6,693,765,000.0","65,000,000.0",Unknown
8,EOS,EOS,0.00107799 BTC,$8.61,-1.31%,-13.85%,"548,670,000.0","$5,578,304,121.0","647,595,578.0","1,000,000,000.0"
9,XEM,NEM,0.00006862 BTC,$0.54,-1.67%,-13.34%,"41,250,600.0","$4,935,194,999.0","8,999,999,999.0",Unknown
10,MIOTA,IOTA,0.00021237 BTC,$1.69,-3.2%,-14.41%,"52,525,700.0","$4,716,918,481.0","2,779,530,283.0","2,779,530,283.0"
11,DASH,Dash,0.0679839 BTC,$543.,-5.27%,-14.83%,"78,248,300.0","$4,272,339,962.0","7,864,597.0","18,900,000.0"
12,XMR,Monero,0.0274511 BTC,$219.,-4.44%,-13.51%,"44,837,200.0","$3,440,225,047.0","15,683,510.0",Unknown
13,TRX,TRON,0.00000462 BTC,$0.03,-3.54%,-18.52%,"160,121,000.0","$2,427,640,235.0","65,748,192,475.0",Unknown
14,LSK,Lisk,0.00240721 BTC,$19.2,-3.4%,-18.36%,"32,168,500.0","$2,264,411,292.0","117,722,264.0",Unknown
15,USDT,Tether,0.00012346 BTC,$0.98,-1.39%,-1.46%,"2,250,990,000.0","$2,187,207,195.0","2,217,140,814.0",Unknown
16,VEN,VeChain,0.00054651 BTC,$4.36,-5.56%,-22.87%,"56,356,500.0","$2,039,742,926.0","467,084,254.0",Unknown
17,ETC,Ethereum Classic,0.00254015 BTC,$20.2,-3.93%,-16.67%,"205,009,000.0","$2,022,013,892.0","99,618,864.0",Unknown
18,QTUM,Qtum,0.00321933 BTC,$25.7,-2.19%,-14.86%,"204,938,000.0","$1,899,961,642.0","73,857,772.0",Unknown
19,BTG,Bitcoin Gold,0.0127914 BTC,$102.,-2.06%,-11.35%,"52,791,400.0","$1,717,646,963.0","16,804,749.0","21,000,000.0"
20,PPT,Populous,0.00552528 BTC,$44.1,-3.92%,-27.23%,"5,432,990.0","$1,633,753,690.0","37,004,027.0","53,252,246.0"
21,XRB,Nano,0.00148187 BTC,$11.8,-6.29%,-28.17%,"25,379,000.0","$1,577,819,642.0","133,248,289.0","133,248,290.0"
22,ICX,ICON,0.0005139 BTC,$4.10,-5.61%,-27.13%,"48,126,600.0","$1,566,582,570.0","381,495,014.0",Unknown
23,OMG,OmiseGO,0.00148978 BTC,$11.9,-2.89%,-16.01%,"32,872,700.0","$1,214,745,149.0","102,042,552.0",Unknown
24,ZEC,Zcash,0.0426 BTC,$340.,-4.18%,-14.51%,"44,403,800.0","$1,091,763,904.0","3,207,269.0",Unknown
25,STEEM,Steem,0.00047258 BTC,$3.77,-1.66%,-14.07%,"42,511,300.0","$938,367,187.0","248,493,123.0",Unknown
26,BNB,Binance Coin,0.00102868 BTC,$8.21,-2.48%,-17.54%,"47,375,700.0","$813,876,267.0","99,014,000.0",Unknown
27,BCN,Bytecoin,0.00000053 BTC,$0.00,-4.37%,-17.64%,"2,731,080.0","$777,578,252.0","183,706,951,782.0","184,470,000,000.0"
28,STRAT,Stratis,0.00095827 BTC,$7.65,-4.57%,-22.73%,"12,633,900.0","$755,981,818.0","98,727,716.0",Unknown
29,XVG,Verge,0.00000643 BTC,$0.05,-5.21%,-22.16%,"27,725,100.0","$748,267,575.0","14,555,214,668.0","16,555,000,000.0"
30,SC,Siacoin,0.00000285 BTC,$0.02,-4.24%,-22.77%,"17,582,100.0","$733,012,686.0","32,182,143,672.0",Unknown
31,SNT,Status,0.00002592 BTC,$0.20,-0.12%,1.01%,"916,533,000.0","$718,844,777.0","3,470,483,788.0",Unknown
32,BTS,BitShares,0.00003278 BTC,$0.26,-6.89%,-23.63%,"19,043,400.0","$683,001,097.0","2,607,820,000.0","3,600,570,502.0"
33,DGD,DigixDAO,0.0405857 BTC,$324.,-4.17%,-17.73%,"88,713,600.0","$648,614,000.0","2,000,000.0",Unknown
34,MKR,Maker,0.12927 BTC,$1032,-4.09%,-14.96%,"508,229.0","$638,604,557.0","618,228.0",Unknown
35,VERI,Veritaseum,0.0377872 BTC,$301.,-5.4%,-14.78%,"481,792.0","$614,954,907.0","2,036,645.0",Unknown
36,AE,Aeternity,0.00031456 BTC,$2.51,-0.61%,-13.28%,"3,753,080.0","$585,699,287.0","233,020,472.0",Unknown
37,WAVES,Waves,0.00070277 BTC,$5.61,-3.78%,-16.78%,"23,545,200.0","$561,556,000.0","100,000,000.0",Unknown
38,ZRX,0x,0.00013707 BTC,$1.09,-6.73%,-23.82%,"10,455,000.0","$553,268,844.0","505,134,570.0",Unknown
39,WTC,Walton,0.00273079 BTC,$21.8,-6.55%,-24.68%,"14,110,200.0","$543,300,652.0","24,898,178.0","100,000,000.0"
40,KCS,KuCoin Shares,0.00074523 BTC,$5.95,-3.53%,-24.14%,"2,565,720.0","$542,149,682.0","91,043,076.0",Unknown
41,REP,Augur,0.00606286 BTC,$48.4,-1.51%,-20.67%,"5,776,160.0","$532,909,300.0","11,000,000.0",Unknown
42,RHOC,RChain,0.00017864 BTC,$1.42,-7.86%,-19.3%,"759,112.0","$491,273,286.0","344,166,289.0","1,000,000,000.0"
